label,ulan,role,id
"Burrage, Albert C.",500447367,collector,1
"Clark, William Andrews",500448232,collector,2
"Hearst, William Randolph",500213593,collector,3
"Ives, Brayton C.",500448271,collector,4
"Stanford, Leland",500326383,collector,5
"Valentine, Lawson",500448211,collector,6
"Willets, Howard",500443260,collector,7
"Adams, Edward D.",none,collector,8
"Berwind, Edward Julius",500447709,collector,9
"Bishop, Heber R.",500446555,collector,10
"Blumenthal, George",500314546,collector,11
"Bostwick, Jabez A.",500448241,collector,12
"Clyde, William P.",500450037,collector,13
"Cochran, Thomas",none,collector,14
"Crocker, Charles",500447868,collector,15
"Davis, Theodore M.",500443803,collector,16
"Ellsworth, James W.",500443239,collector,17
"Flagler, Henry Morrison",500259690,collector,18
"Flower, Frederick, S.",500446609,collector,19
"Frick, Henry Clay (NY)",500274405,collector,20
"Harding, J. Horace",500448293,collector,21
"Harkness, Charles W.",500443497,collector,22
"Heye, Dr. George G.",500372637,collector,23
"Hill, James N.",500449909,collector,24
"Jennings, Walter",500443623,collector,25
"Mather, Samuel",500447001,collector,26
"Mellon, Andrew W.",500356367,collector,27
"Merriam, William Rush",500447607,collector,28
"Mills, Darius Ogden",500447907,collector,29
"Oliver, Henry W.",500443254,collector,30
"Riker, John Lawrence",500447957,collector,31
"Rockefeller, William Avery Jr.",500447943,collector,32
"Ruppert, Jacob",500446574,collector,33
"Shepherd, James G.",500447386,collector,34
"Stillman, James",500445305,collector,35
"Thorne, Samuel P.",500447668,collector,36
"Baker, George F.",500448264,collector,37
"Bakewell, Allen Campbell",500446711,collector,38
"Coffin, Charles Albert",500443262,collector,39
"Curtis, William John",500445510,collector,40
"Fahnestock, Harris Charles",500447606,collector,41
"Fletcher, Isaac D.",none,collector,42
"Gould, Frank Jay",500448359,collector,43
"Harrison, Hugh H.",none,collector,44
"Humphreys, Dr. Alexander C.",none,collector,45
"Huntington, Henry Edwards",500435856,collector,46
"Lehman, Arthur",500439393,collector,47
"Mansfield, Burton",500448291,collector,48
"Morgan, J. Pierpont",500322851,collector,49
"Penfold, Edmund",500443893,collector,50
"Roebling, Ferdinand W.",500447566,collector,51
"Seligman, Henry",500448095,collector,52
"Ward, Leslie Dodd",500448108,collector,53
"Hotchkiss, Horace L.",500447892,collector,54
"King, David H., Jr.",none,collector,55
"Roberts, Marshall O.",500447989,collector,56
"Alger, Russel Alexander",500360233,collector,57
"Allis, Charles",500447759,collector,58
"Ames, Frederick Lothrop",500360278,collector,59
"Ames, Oliver",500360281,collector,60
"Borden, Matthew Challoner Durfee",500447889,collector,61
"Brookfield, William",500447764,collector,62
"Clark, William (Newark)",none,collector,63
"Clarke, Thomas B.",500315918,collector,64
"Foos, Lamar",500448040,collector,65
"Gardiner, George Schuyler",500446564,collector,66
"Gary, Elbert H.",500448272,collector,67
"Graham, Malcolm",500447590,collector,68
"Hartley, Marcellus",500448059,collector,69
"Hine, Francis L.",500446709,collector,70
"Hoagland, Joseph Christoffel",500447057,collector,71
"Hoyt, Charles Albert",500446919,collector,72
"Huntington, Collis P.",500435855,collector,73
"Hyde, Clarence M.",500447671,collector,74
"Jackson, Edwin E.",500447391,collector,75
"Jennings, Frederick Beach",500448357,collector,76
"Lambert, Catholina",500320993,collector,77
"Layton, Frederick",500447981,collector,78
"Leighton, George E.",500447271,collector,79
"Milbank, Jeremiah",500446675,collector,80
"Milliken, Seth Mellen",500448314,collector,81
"Moore, William Henry",500445235,collector,82
"Obrig, Adolf",500446910,collector,83
"Oliver, George Tener",500447038,collector,84
"Ream, Norman B.",500449995,collector,85
"Reid, Daniel G.",500448274,collector,86
"Reisinger, Hugo",500448080,collector,87
"Schwab, Charles M.",500443232,collector,88
"Sloane, William Douglas",500447561,collector,89
"Smith, Theodore E.",500448458,collector,90
"Spoor, John A.",500443775,collector,91
"Stern, Louis",500447669,collector,92
"Thomas, Seth Edward",500443546,collector,93
"Tuckerman, Lucius",500443322,collector,94
"Valentine, P.A.",500448430,collector,95
"Warren, John Hobart",500444040,collector,96
"Widener, Peter A.B.",500336869,collector,97
"Aitken, John W.",500443549,collector,98
"Butler, Theron R.",500446556,collector,99
"Carstairs, John Haseltine",500447358,collector,100
"De Lima, David A.",500448227,collector,101
"Field, Marshall",500444622,collector,102
"Fiske, Josiah M.",500447591,collector,103
"Hearn, George A.",500447886,collector,104
"Hyde, Henry Baldwin",500448113,collector,105
"Peavey, Frank Hutchinson",500448358,collector,106
"Peters, Samuel T.",500448433,collector,107
"Sabin, Charles H.",500444931,collector,108
"Smith, Charles Stewart",500447573,collector,109
"Tenney, Charles Henry",500447003,collector,110
"Woolworth, Frank Winfield",500448065,collector,111
"Avery, Samuel Putnam",500313673,collector,112
"Carstairs, Charles Stewart",500435474,collector,113
"Clarke, Augustus W.",500443259,collector,114
"Dun, Robert Graham",500447731,collector,115
"Fuller, William H.",none,collector,116
"Harbeck, Charles T.",500446977,collector,117
"Inglis, James Smith",500443701,collector,118
"Kirby, Thomas E.",500443646,collector,119
"Reinhardt, Henry",500778998,collector,120
"Terry, John T.",500447019,collector,121
"Curtis, George N.",500448027,collector,122
"Gould, George Jay I",500447898,collector,123
"Holmes, John Grier",500443514,collector,124
"Lawrence, Cyrus I.",500447713,collector,125
"McGarrah, G. W.",500449846,collector,126
"Raynor, James A.",500447938,collector,127
"Salter, Thomas P.",500446561,collector,128
"Schiff, Jacob Henry",500448262,collector,129
"Vanderbilt, Cornelius II",500447578,collector,130
"Andrews, William Loring",500360341,collector,131
"Astor, John Jacob (III)",500435405,collector,132
"Dick, Harris Brisbane",500447692,collector,133
"Harper, Fletcher, Jr.",500447663,collector,134
"Harper, Joseph Abner",500447944,collector,135
"Lehmaier, Louis A.",500443489,collector,136
"Tousey, Sinclair",500443864,collector,137
"Closson, James T.",500446630,collector,138
"Connor, Washington Everett",500443312,collector,139
"Cook, Henry H.",none,collector,140
"Horton, Henry Lawrence",500443282,collector,141
"Lawrence, Frank R.",500447645,collector,142
"Seligman, Isaac Newton",500443320,collector,143
"Stewart, Lispenard",500448424,collector,144
"Bangs, F.N.",500447996,collector,145
"Fry, John Hemming",500083263,collector,146
"Stransky, Josef",500439445,collector,147
"Davenport, Ira",500446683,collector,148
"Sector 11-Agriculture, Forestry, Fishing and Hunting",NA,sector,149
"Sector 21-Mining, Quarrying, and Oil and Gas Extraction",NA,sector,150
Sector 22-Utilities,NA,sector,151
Sector 23-Construction,NA,sector,152
Sector 31-33-Manufacturing,NA,sector,153
Sector 42-Wholesale Trade,NA,sector,154
Sector 44-45-Retail Trade,NA,sector,155
Sector 48-49-Transportation and Warehousing,NA,sector,156
Sector 51-Information,NA,sector,157
Sector 52-Finance and Insurance,NA,sector,158
Sector 53-Real Estate and Rental and Leasing,NA,sector,159
"Sector 54-Professional, Scientific, and Technical Services",NA,sector,160
Sector 56-Administrative and Support and Waste Management and Remediation Services,NA,sector,161
Sector 61-Educational Services,NA,sector,162
Sector 62-Health Care and Social Assistance,NA,sector,163
"Sector 71-Arts, Entertainment, and Recreation",NA,sector,164
Sector 72-Accommodation and Food Services,NA,sector,165
Sector 92-Public Administration,NA,sector,166
Lotos Club,NA,group,167
Union League Club,NA,group,168
Money Trust Investigation,NA,group,169
