source_label,target_label,weight,type,relationship_type,source,target
"Aitken, John W.","Adams, Edward D.",1,undirected,social club,37,36
"Alger, Russel Alexander","Adams, Edward D.",1,undirected,social club,38,36
"Allis, Charles","Adams, Edward D.",1,undirected,social club,39,36
"Ames, Frederick Lothrop","Adams, Edward D.",1,undirected,social club,40,36
"Ames, Oliver","Adams, Edward D.",1,undirected,social club,41,36
"Andrews, William Loring","Adams, Edward D.",1,undirected,social club,42,36
"Astor, John Jacob (III)","Adams, Edward D.",1,undirected,social club,43,36
"Avery, Samuel Putnam","Adams, Edward D.",1,undirected,social club,44,36
"Baker, George F.","Adams, Edward D.",1,undirected,social club,45,36
"Bakewell, Allen Campbell","Adams, Edward D.",1,undirected,social club,46,36
"Bangs, F.N.","Adams, Edward D.",1,undirected,social club,47,36
"Bishop, Heber R.","Adams, Edward D.",1,undirected,social club,48,36
"Borden, Matthew Challoner Durfee","Adams, Edward D.",1,undirected,social club,49,36
"Bostwick, Jabez A.","Adams, Edward D.",1,undirected,social club,50,36
"Brookfield, William","Adams, Edward D.",1,undirected,social club,2,36
"Burrage, Albert C.","Adams, Edward D.",1,undirected,social club,3,36
"Butler, Theron R.","Adams, Edward D.",1,undirected,social club,51,36
"Carstairs, Charles Stewart","Adams, Edward D.",1,undirected,social club,52,36
"Carstairs, John Haseltine","Adams, Edward D.",1,undirected,social club,53,36
"Clark, William (Newark)","Adams, Edward D.",1,undirected,social club,54,36
"Clarke, Thomas B.","Adams, Edward D.",1,undirected,social club,55,36
"Closson, James T.","Adams, Edward D.",1,undirected,social club,56,36
"Clyde, William P.","Adams, Edward D.",1,undirected,social club,57,36
"Cochran, Thomas","Adams, Edward D.",1,undirected,social club,58,36
"Coffin, Charles Albert","Adams, Edward D.",1,undirected,social club,59,36
"Connor, Washington Everett","Adams, Edward D.",1,undirected,social club,6,36
"Cook, Henry H.","Adams, Edward D.",1,undirected,social club,60,36
"Crocker, Charles","Adams, Edward D.",1,undirected,social club,61,36
"Curtis, George N.","Adams, Edward D.",1,undirected,social club,62,36
"Curtis, William John","Adams, Edward D.",1,undirected,social club,63,36
"Davenport, Ira","Adams, Edward D.",1,undirected,social club,64,36
"Davis, Theodore M.","Adams, Edward D.",1,undirected,social club,65,36
"Dick, Harris Brisbane","Adams, Edward D.",1,undirected,social club,66,36
"Dun, Robert Graham","Adams, Edward D.",1,undirected,social club,67,36
"Ellsworth, James W.","Adams, Edward D.",1,undirected,social club,68,36
"Fahnestock, Harris Charles","Adams, Edward D.",1,undirected,social club,69,36
"Field, Marshall","Adams, Edward D.",1,undirected,social club,70,36
"Fiske, Josiah M.","Adams, Edward D.",1,undirected,social club,71,36
"Flagler, Henry Morrison","Adams, Edward D.",1,undirected,social club,72,36
"Fletcher, Isaac D.","Adams, Edward D.",1,undirected,social club,8,36
"Foos, Lamar","Adams, Edward D.",1,undirected,social club,73,36
"Frick, Henry Clay (NY)","Adams, Edward D.",1,undirected,social club,74,36
"Fuller, William H.","Adams, Edward D.",1,undirected,social club,75,36
"Gould, Frank Jay","Adams, Edward D.",1,undirected,social club,76,36
"Graham, Malcolm","Adams, Edward D.",1,undirected,social club,77,36
"Gunsaulus, Dr. Frank W.","Adams, Edward D.",1,undirected,social club,140,36
"Harbeck, Charles T.","Adams, Edward D.",1,undirected,social club,78,36
"Harding, J. Horace","Adams, Edward D.",1,undirected,social club,79,36
"Harper, Fletcher, Jr.","Adams, Edward D.",1,undirected,social club,80,36
"Harper, Joseph Abner","Adams, Edward D.",1,undirected,social club,81,36
"Hartley, Marcellus","Adams, Edward D.",1,undirected,social club,82,36
"Hill, James N.","Adams, Edward D.",1,undirected,social club,83,36
"Hine, Francis L.","Adams, Edward D.",1,undirected,social club,84,36
"Hoagland, Joseph Christoffel","Adams, Edward D.",1,undirected,social club,85,36
